student_id,vle_engagement_score,entrepreneurial_grit_index,innovation_credits_completed,competitions_participated,competitions_won,portfolio_achievement_scale,skills_possessed,skills_seeking,competition_history,has_startup,startup_industry,semantic_pitch_statement,tech_readiness_level_trl,mentorship_hours,founder_idea_fit_score,market_readiness_score,team_size,patents_filed,technology_transfers_completed,revenue_generated_usd,seed_funding_received,startup_achievement,startup_achievement_scale,investor_details,success_prediction_label
STU00001,267,3.7,5,2,0,1.7,Python | IoT | DevOps,Data Engineering | Django | Cybersecurity,Data Science Olympiad | Inter-College Innovation Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00002,400,6.3,1,11,5,8.7,Android Development | Cybersecurity | Python | Natural Language Processing,Data Analysis,National Hackathon | Inter-College Innovation Challenge | State-Level Startup Pitch | Product Design Sprint | Climate Action Hackathon | Campus Ideathon | Data Science Olympiad | Social Entrepreneurship Challenge | IEEE Paper Presentation | Smart India Hackathon (SIH),0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00003,292,2.7,8,4,4,7,Django | Natural Language Processing,UI/UX Design,Product Design Sprint | Inter-College Innovation Challenge | Data Science Olympiad | Campus Ideathon,1,AgriTech,We solve carbon-intensive logistics operations for first-generation college students by building a gamified financial literacy learning app in the AgriTech sector.,4,76,0.78,0.8,7,0,0,0,0,Featured in YourStory Startup Edition,5.4,Bootstrapped,0
STU00004,450,2,8,3,0,2.1,Data Analysis | Business Analytics | Machine Learning,Android Development | Data Engineering | Blockchain,Product Design Sprint | IEEE Paper Presentation | Data Science Olympiad,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00005,87,6.1,2,6,1,3.3,Blockchain | iOS Development | Cloud Computing | Natural Language Processing,AR/VR Development | Machine Learning | Cybersecurity,IEEE Paper Presentation | Social Entrepreneurship Challenge | Data Science Olympiad | Inter-College Innovation Challenge | Smart India Hackathon (SIH) | Climate Action Hackathon,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00006,343,4.1,0,1,1,2.3,Computer Vision | Data Engineering | Machine Learning,Embedded Systems | AR/VR Development | iOS Development,Social Entrepreneurship Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00007,39,3,5,2,2,4.1,Embedded Systems | Django | Android Development,Machine Learning | Natural Language Processing | Node.js,Inter-College Innovation Challenge | Social Entrepreneurship Challenge,1,BioTech,We solve poor financial literacy among youth for government health workers by building a blockchain-backed traceability ledger in the BioTech sector.,7,6,0.69,0.7,5,1,1,0,0,Completed DST-NIDHI PRAYAS Grant,7.5,Government TIDE 2.0 Grant,0
STU00008,126,1.2,10,11,8,10,Blockchain | Machine Learning | React.js | Natural Language Processing,Django,Data Science Olympiad | Product Design Sprint | Social Entrepreneurship Challenge | Smart India Hackathon (SIH) | Inter-College Innovation Challenge | IEEE Paper Presentation | National Hackathon | Climate Action Hackathon | Campus Ideathon | State-Level Startup Pitch,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00009,422,4.3,9,7,7,10,Python | Data Engineering | iOS Development | Blockchain,Embedded Systems | React.js | IoT,Campus Ideathon | Data Science Olympiad | Climate Action Hackathon | State-Level Startup Pitch | National Hackathon | IEEE Paper Presentation | Inter-College Innovation Challenge,1,BioTech,We solve lack of affordable mental health access for rural farmers by building a no-code automation workflow engine in the BioTech sector.,6,79,0.87,0.68,3,0,0,0,1,Onboarded 500+ Beta Users,8.1,SIDBI Startup Mitra Fund,1
STU00010,445,6.8,8,4,4,7,Django | Business Analytics | Natural Language Processing,Cloud Computing | Data Engineering | AR/VR Development,Climate Action Hackathon | Smart India Hackathon (SIH) | Data Science Olympiad | National Hackathon,1,CleanEnergy,We solve manual compliance reporting in hospitals for logistics managers in emerging markets by building a federated machine learning recommendation system in the CleanEnergy sector.,7,86,0.96,0.56,3,3,2,0,1,Onboarded 500+ Beta Users,9.9,Corporate Innovation Arm,1
